,reaction_id,rxn_smiles,DG_TS
1341,1539,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][s:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[s:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:14]1,15.3
1342,1540,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][s:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][s:12][cH:13]1,18.5
1343,1541,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][s:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][cH:12][s:13]1,17.1
1344,1542,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][s:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][s:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1,17.7
1345,1543,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[s:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[s:14]1,16.6
1346,1544,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][s:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14][cH:13]1,16.9
1347,1545,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][s:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[cH:12][n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14]1,16.2
1348,1546,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][s:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][s:14]1,16.2
1349,1547,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[s:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[s:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],16.0
1350,1548,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][s:12][cH:13][n:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[s:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14]1,15.5
1351,1549,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][s:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][cH:12][s:13]1,15.9
1352,1550,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[s:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[s:14]1,15.3
1353,1551,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][cH:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][cH:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14],17.9
1354,1552,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][cH:13][s:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[n:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14]1,15.1
1355,1553,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[s:11][cH:12][n:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:11][cH:12][n:13]1,18.2
1356,1554,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][s:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][s:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],19.5
1357,1555,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][s:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][s:14]1,17.3
1358,1556,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][s:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][s:12][cH:13]1,19.5
1359,1557,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][s:13][n:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14][s:13]1,16.8
1360,1558,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][s:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][s:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],18.3
1361,1559,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[s:7][n:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[s:7][n:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],16.8
1362,1560,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][s:12][n:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][s:12][n:13]1,17.9
1363,1561,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][s:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][n:12][s:13]1,17.6
1364,1562,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[s:13][n:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[s:13][n:14]1,19.5
1365,1563,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14],19.3
1366,1564,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][n:13][s:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14][n:13]1,17.3
1367,1565,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[s:11][n:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:11][n:12][cH:13]1,18.7
1368,1566,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][o:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1,18.9
1369,1567,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,14.5
1370,1568,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][o:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14][cH:13]1,17.4
1371,1569,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][o:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[cH:12][n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,13.7
1372,1570,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][o:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][o:14]1,14.8
1373,1571,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[o:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[o:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],14.0
1374,1572,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][o:12][cH:13][n:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[o:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14]1,13.9
1375,1573,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][o:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][cH:12][o:13]1,13.2
1376,1574,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[o:14]1,14.8
1377,1575,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][cH:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14],18.0
1378,1576,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][cH:13][o:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[n:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14]1,13.4
1379,1577,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[o:11][cH:12][n:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:11][cH:12][n:13]1,19.1
1380,1578,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][o:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][o:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],21.0
1381,1579,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][o:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][o:14]1,15.4
1382,1580,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][o:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][o:12][cH:13]1,20.9
1383,1581,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][o:13][n:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14][o:13]1,15.1
1384,1584,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][o:12][n:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][o:12][n:13]1,21.0
1385,1585,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][o:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][n:12][o:13]1,14.5
1386,1586,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[o:13][n:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[o:13][n:14]1,19.5
1387,1587,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][o:9][c:10]1[C:11]([F:12])([F:13])[F:14],18.7
1388,1588,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][n:13][o:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:14][n:13]1,19.4
1389,1589,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[o:11][n:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[o:11][n:12][cH:13]1,19.7
1390,1590,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][nH:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][nH:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14]1,18.9
1391,1591,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[nH:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][c:9]([C:10]([F:11])([F:12])[F:13])[nH:14]1,17.1
1392,1592,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][nH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:14][cH:13]1,17.1
1393,1593,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][nH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[cH:12][n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:14]1,15.5
1394,1594,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][nH:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][nH:14]1,17.2
1395,1595,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[nH:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[nH:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],16.5
1396,1596,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][nH:12][cH:13][n:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[nH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14]1,15.5
1397,1597,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][nH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][cH:12][nH:13]1,15.7
1398,1600,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][cH:13][nH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[n:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:14]1,14.8
1399,1601,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[nH:11][cH:12][n:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:11][cH:12][n:13]1,19.4
1400,1602,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][nH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][nH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],21.1
1402,1604,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][nH:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][nH:12][cH:13]1,21.3
1403,1605,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][nH:13][n:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14][nH:13]1,17.8
1404,1606,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][nH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][nH:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],19.8
1405,1607,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[nH:7][n:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[nH:7][n:8][cH:9][c:10]1[C:11]([F:12])([F:13])[F:14],18.1
1406,1608,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][nH:12][n:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][nH:12][n:13]1,19.5
1407,1609,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][nH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[cH:11][n:12][nH:13]1,17.1
1408,1610,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[nH:13][n:14]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[nH:13][n:14]1,20.0
1409,1611,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][nH:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][nH:9][c:10]1[C:11]([F:12])([F:13])[F:14],20.0
1410,1612,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][n:13][nH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:14][n:13]1,18.8
1411,1613,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[nH:11][n:12][cH:13][cH:14]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[nH:11][n:12][cH:13]1,21.6
1412,1614,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][cH:9][n:10][c:11]1[C:12]([F:13])([F:14])[F:15]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][n:10][c:11]1[C:12]([F:13])([F:14])[F:15],18.1
1413,1615,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][n:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][n:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1,18.7
1414,1616,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14][cH:15]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[n:14][cH:15]1,17.8
1415,1617,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[n:15]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[n:15]1,18.2
1416,1618,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][cH:9][nH+:10][c:11]1[C:12]([F:13])([F:14])[F:15]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][nH+:10][c:11]1[C:12]([F:13])([F:14])[F:15],20.5
1417,1619,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][nH+:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][nH+:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1,17.1
1419,1621,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[nH+:15]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[nH+:15]1,18.0
1420,1626,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][cH:14][cH:15]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:15]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][cH:12][cH:13][cH:14]1,18.6
1421,1627,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][cH:14][n:15]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:12]1[cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:15][cH:14][cH:13]1,19.0
1422,1628,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][cH:14][n:15]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:13]1[cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:15][cH:14]1,18.3
1423,1629,[CH2:1][C:2]([F:3])([F:4])[F:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][cH:12][cH:13][cH:14][n:15]1>>[CH2:1]([C:2]([F:3])([F:4])[F:5])[c:14]1[cH:13][cH:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:15]1,17.9
1424,1630,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[n:7][cH:8][cH:9][cH:10][c:11]1[C:12]([F:13])([F:14])[F:15]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[n:7][cH:8][cH:9][cH:10][c:11]1[C:12]([F:13])([F:14])[F:15],19.5
1425,1631,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][cH:8][n:9][cH:10][c:11]1[C:12]([F:13])([F:14])[F:15]>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][cH:8][n:9][cH:10][c:11]1[C:12]([F:13])([F:14])[F:15],19.4
1426,1632,[F:1][C:2]([F:3])([F:4])[CH2:5].[cH:6]1[cH:7][n:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1>>[F:1][C:2]([F:3])([F:4])[CH2:5][c:6]1[cH:7][n:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15]1,19.1
