,rxn_id,predicted
0,0,14.544161
1,1,14.206412
2,2,14.590512
3,3,22.81023
4,4,23.965843
5,5,16.00392
6,1985,15.949046
7,1987,13.4270115
8,1988,12.6172495
9,1989,12.917352
10,1990,12.060253
11,1991,15.191684
12,1993,12.455755
13,1994,20.241623
14,1996,10.610781
15,1997,17.103668
16,1998,15.446331
17,1999,20.07075
18,2000,14.6215315
19,2001,16.335817
20,2002,17.105223
21,2003,14.08114
22,2006,17.363644
23,2008,12.888591
24,2009,14.917928
25,2010,15.041163
26,2011,11.847199
27,2012,11.45648
28,2013,11.976742
29,2014,14.797308
30,2015,12.044787
31,2017,13.047838
32,2019,15.178106
33,2022,13.773873
34,2023,14.319482
35,2024,16.648903
36,2025,14.925098
37,2026,12.06204
38,2027,18.158852
39,2028,15.798393
40,2029,13.494231
41,2030,15.515846
42,2033,12.970243
43,2035,16.388279
44,2036,14.710319
45,2037,16.191324
46,2038,12.398688
47,2039,14.835562
48,2041,19.663044
49,2042,13.311608
50,2047,12.516269
51,2048,11.679623
52,2049,11.662258
53,2050,22.838373
54,2051,17.198431
55,2052,14.733258
56,2053,9.469416
57,2054,16.561975
58,2055,15.717467
59,2056,8.797004
60,2057,13.400601
61,2058,12.553821
62,2059,17.796375
63,2060,13.773873
64,2061,20.970345
65,2062,16.3623
66,2063,19.75445
67,2064,15.775077
68,2065,13.12055
69,2066,14.557872
70,2067,11.909926
71,2068,12.495608
72,2069,15.14422
73,2070,13.468026
74,2071,14.36822
75,2072,13.994744
76,2074,12.713359
77,2075,16.462149
78,2076,13.807182
79,2077,12.345508
80,2078,11.913108
81,2079,15.624146
82,2080,12.265288
83,2085,17.064949
84,2086,13.054124
85,2087,15.946031
86,2088,16.8307
87,2091,12.478151
88,2092,17.40538
89,2093,9.978363
90,2094,11.920119
91,2095,14.184847
92,2096,13.633403
93,2097,21.549124
94,2098,15.942082
95,2099,15.890845
96,2100,20.280275
97,2103,16.666544
98,2104,13.059609
99,2105,9.418665
100,2107,13.285062
101,2108,15.924357
102,2111,16.436646
103,2112,12.502484
104,2114,12.802956
105,2115,9.911034
106,2116,11.423282
107,2117,14.233657
108,2118,12.943554
109,2119,10.991767
110,2121,18.686508
111,2122,21.474085
112,2125,14.787457
113,2126,17.896685
114,2128,14.528371
115,2129,16.238398
116,2130,15.226417
117,2131,15.371598
118,2132,15.73955
119,2133,12.854809
120,2134,11.91377
121,2135,12.895031
122,2136,13.116381
123,2137,15.18469
124,2138,12.89231
125,2139,10.03448
126,2355,13.348357
127,2356,12.607646
128,2357,12.568153
129,2358,16.383385
130,2359,15.511175
131,2360,13.121876
132,2361,12.939367
133,2362,12.814658
134,2363,12.196653
135,2364,15.679021
136,2365,12.748722
137,2366,12.539464
138,2370,12.98315
139,2371,14.184365
140,2372,12.4615345
141,2374,13.471584
142,2376,13.43818
143,2377,14.575147
144,2378,14.926855
145,2382,13.48242
146,2383,16.467852
147,2384,12.6042
148,2385,15.697848
149,2386,14.581858
150,2387,20.651184
151,2388,12.548585
152,2389,11.318816
153,2390,17.111925
154,2391,12.828123
155,2392,22.29559
156,2393,9.333773
157,2394,17.148155
158,2395,12.295761
159,2396,20.37212
160,2397,17.143192
161,2398,12.553687
162,2399,12.963422
163,2400,15.103859
164,2401,11.19323
165,2402,10.886901
166,2403,15.560708
167,2404,12.128414
168,2405,13.389922
169,2406,12.812526
170,2407,19.824991
171,2408,12.5599165
172,2409,12.710673
173,2410,11.910212
174,2411,15.261676
175,2412,9.542449
176,2413,12.235707
177,2414,11.888605
178,2415,12.946193
179,2416,16.101843
180,2417,15.4430485
181,2418,12.017262
182,2419,17.36658
183,2420,9.870761
184,2421,16.422375
185,2422,10.014684
186,2423,15.873567
187,2424,14.858
188,2425,14.573229
189,2426,14.195394
190,2427,17.818474
191,2428,12.735202
192,2429,23.590933
193,2430,12.887807
194,2433,16.869673
195,2434,13.846077
196,2435,11.903795
197,2436,12.975887
198,2437,11.803691
199,2438,15.501462
200,2439,11.5659
201,2441,14.478383
202,2442,16.196243
203,2443,19.979948
204,2444,13.2224655
205,2445,17.01779
206,2446,17.012981
207,2449,17.976913
208,2450,12.053352
209,2451,16.385408
210,2452,17.295795
211,2453,10.035792
212,2454,16.534203
213,2455,11.890137
214,2456,12.735021
215,2457,12.856092
216,2458,16.310472
217,2459,17.657768
218,2460,19.924091
219,2461,11.79109
220,2462,15.205505
221,2463,12.991644
222,2464,13.937171
223,2465,15.130509
224,2466,11.446119
225,2467,13.988199
226,2468,9.54737
227,2469,12.4993105
228,2470,13.213384
229,2475,13.279803
230,2476,18.699677
231,2477,14.953169
232,2478,20.158144
233,2479,21.674677
234,2480,17.129314
235,2481,10.477206
236,2482,11.865292
237,2483,12.767253
238,2484,20.787958
239,2486,13.118405
240,2487,13.468654
241,2488,12.069637
242,2489,12.00711
243,2490,12.267665
244,2491,13.141787
245,2492,16.977676
246,2493,16.941675
247,2494,12.10469
248,2495,21.265797
249,2496,22.903479
250,2497,14.871038
251,2498,12.832615
252,2499,11.888321
253,2500,15.556635
254,2501,23.622005
255,2502,16.789522
256,2503,16.904072
257,2504,11.713707
258,2505,10.816555
259,2506,12.70677
260,2507,14.175112
261,2508,10.218593
262,2512,15.807252
263,2513,10.11548
264,2514,11.930838
265,2515,12.978864
266,2516,12.666504
267,2519,13.6565275
268,2520,12.350568
269,2521,16.647419
270,2522,10.338113
271,2523,14.575154
272,2524,16.537031
273,2525,18.210363
274,2526,13.887135
275,2529,15.397415
276,2530,14.770287
277,2531,11.892041
278,2532,12.931299
279,2533,17.077763
280,2534,19.101257
281,2537,20.380062
282,2538,11.669646
283,2541,10.831714
284,2542,13.639466
285,2543,18.574743
286,2544,12.774396
287,2545,11.977477
288,2546,15.164497
289,2549,13.589247
290,2550,18.214148
291,2551,9.407712
292,2552,17.825703
293,2553,11.517476
294,2554,9.901073
295,2555,15.128082
296,2556,16.264359
297,2558,16.701284
298,2560,13.425107
299,2561,15.913846
300,2562,14.147432
301,2563,16.948055
302,2564,13.59708
303,2565,12.180795
304,2566,11.748321
305,2567,13.211174
306,2568,15.394287
307,2569,13.060256
308,2570,14.103829
309,2571,13.524528
310,2572,22.598835
311,2573,14.34583
312,2574,14.061321
313,2579,13.895295
314,2581,12.111565
315,2583,18.702335
316,2584,16.975595
317,2585,21.098167
318,2586,16.77641
319,2591,11.560162
320,2593,13.082895
321,2594,11.48074
322,2595,11.278116
323,2596,14.834698
324,2597,12.669616
325,2598,15.058158
326,2600,11.657226
327,2601,12.395522
328,2602,12.562081
329,2603,15.773208
330,2604,13.1409025
331,2605,14.470904
332,2606,10.392189
333,2607,14.311473
334,2608,22.355051
335,2609,16.898436
336,2610,12.488384
337,2611,13.132521
338,2612,11.841482
339,2613,16.973436
340,2614,14.779338
341,2615,12.663716
342,2616,12.511088
343,2617,12.882958
344,2618,13.10493
345,2619,14.068533
346,2620,12.29407
347,2621,14.673878
348,2622,13.487738
349,2623,12.531089
350,2624,14.086137
351,2625,15.558183
352,2626,17.511053
353,2627,16.3962
354,2628,13.093368
355,2629,13.725889
356,2630,16.262402
357,2631,12.841797
358,2632,20.253733
359,2633,23.772154
360,2634,12.575291
361,2635,20.409393
362,2636,9.453301
363,2637,15.102476
364,2638,12.13834
365,2639,17.897718
366,2642,14.70621
367,2643,17.435455
368,2644,18.532015
369,2645,16.969648
370,2646,12.319388
371,2647,11.801688
372,2648,21.10421
373,2649,12.966687
374,2652,9.614098
375,2653,13.747801
376,2654,11.580935
377,2655,9.384421
378,2658,15.595304
379,2660,16.431486
380,2661,12.634388
381,2662,12.124986
382,2663,12.819305
383,2664,15.327095
384,2665,16.640062
385,2668,12.880228
386,2669,22.854134
387,2671,10.322544
388,2672,12.257927
389,2673,12.9159155
390,2674,13.08974
391,2675,10.009784
392,2676,13.514475
393,2677,21.358372
394,2678,10.732971
395,2679,11.827536
396,2684,18.257235
397,2685,11.844349
398,2687,15.873746
399,2688,11.999511
400,2689,12.327373
401,2690,17.665632
402,2691,16.766598
403,2692,9.371211
404,2693,12.811874
405,2695,11.6452675
406,2696,16.700676
407,2697,18.25301
408,2700,11.283361
409,2701,16.254732
410,2703,12.560267
411,2704,11.336697
412,2705,11.921821
413,2706,13.850108
414,2707,16.179058
415,2712,14.0934305
416,2713,12.00443
417,2714,15.681807
418,2715,13.164865
419,2716,10.598844
420,2717,12.940096
421,2721,15.664703
422,2722,10.339063
423,2723,16.549374
424,2724,12.815312
425,2725,14.058482
426,2728,12.548951
427,2729,22.82474
428,2730,15.342073
429,2731,20.23226
430,2733,21.695509
431,2734,12.183585
432,2735,15.136077
433,2738,13.4558325
434,2739,17.016474
435,2740,14.660345
436,2741,13.57994
437,2742,12.779632
438,2743,11.723187
439,2746,14.848017
440,2747,15.711559
441,2750,13.705727
442,2752,12.598978
443,2753,15.192057
444,2754,13.182934
445,2757,14.524013
446,2758,14.338367
447,2759,15.657471
448,2760,13.470398
449,2761,14.4387045
450,2763,15.201768
451,2764,15.349895
452,2766,22.699291
453,2767,22.728544
454,2768,13.055978
455,2769,16.491566
456,2770,11.960318
457,2771,13.798799
458,2772,14.297695
459,2773,13.574299
460,2774,13.602989
461,2775,16.896017
462,2776,14.898385
463,2777,14.22046
464,2778,12.445687
465,2779,9.56711
466,2780,15.664703
467,2781,12.685705
468,2782,16.438494
469,2783,14.311879
470,2784,16.947695
471,2785,20.33051
472,2786,14.04066
473,2787,12.087748
474,2788,10.113249
475,2789,16.594435
476,2790,12.316595
477,2791,13.049577
478,2792,16.333517
479,2793,14.370487
480,2794,18.429308
481,2795,14.573804
482,2796,14.951641
483,2797,16.306948
484,2798,17.207039
485,2799,16.936298
486,2800,12.161204
487,2801,18.119473
488,2802,14.527492
489,2804,15.344072
490,2805,9.887515
491,2806,12.418364
492,2807,15.001357
493,2808,9.218066
494,2809,15.628721
495,2810,16.273588
496,2811,13.229433
497,2812,14.692854
498,2813,16.999458
499,2814,20.91605
500,2815,12.437819
501,2816,13.002526
502,2817,12.580652
503,2818,14.989711
504,2820,22.903492
505,2821,11.52033
506,2822,12.899648
507,2823,12.835029
508,2824,22.360506
509,2825,13.271808
510,2826,13.234893
511,2827,11.747093
512,2828,11.111162
513,2829,13.385164
514,2830,14.740675
515,2831,11.156051
516,2832,20.411165
517,2833,12.979428
518,2834,13.538875
519,2835,16.425198
520,2836,10.196631
521,2837,12.9162245
522,2838,12.7233305
523,2839,12.832505
524,2840,11.528208
525,2841,15.270535
526,2842,12.847124
527,2843,16.92643
528,2844,22.218706
529,2845,14.368715
530,2846,13.669361
531,2847,15.634323
532,2848,17.717346
533,2849,10.449716
534,2850,13.658372
535,2851,18.196413
536,2852,13.967491
537,2853,10.478144
538,2854,14.434012
539,2855,10.709757
540,2856,21.62223
541,2857,15.491089
542,2858,16.426868
543,2859,16.012459
544,2860,12.792843
545,2861,11.831263
546,2864,11.307609
547,2865,15.371418
548,2866,13.32219
549,2867,14.456421
550,2870,13.543376
551,2871,20.26443
552,2872,15.709444
553,2873,13.699983
554,2876,12.018575
555,2877,13.790212
556,2878,10.2904005
557,2879,12.207314
558,2882,20.219963
559,2883,14.263121
560,2884,13.424711
561,2885,18.128317
562,2888,12.088514
563,2889,11.742814
564,2890,21.19987
565,2891,15.9528265
566,2892,17.126425
567,2893,16.448168
568,2894,20.435678
569,2895,14.152904
570,2896,13.0948515
571,2897,21.460337
572,2898,17.127346
573,2899,11.872724
574,2900,14.202779
575,2901,9.486565
576,2902,18.920124
577,2903,14.799688
578,2904,11.910629
579,2905,15.628488
580,2906,14.600576
581,2907,15.268438
582,2908,11.974192
583,2909,13.078794
584,2910,15.947683
585,2911,15.53396
586,2912,12.741867
587,2913,15.03311
588,2915,14.254266
589,2916,13.291507
590,2917,14.420915
591,2918,11.623195
592,2919,12.565232
593,2920,13.308821
594,2921,14.972377
595,2922,11.29685
596,2923,23.305046
597,2924,12.730822
598,2925,15.302016
599,2926,20.137741
600,2927,10.392942
